block_index	block_type	style	alignment	text
666	paragraph	Normal	JUSTIFY (3)	b) Sản xuất, cung cấp điện, viễn thông, lọc dầu; cấp, thoát nước;
667	paragraph	Normal	JUSTIFY (3)	c) Trường hợp giải quyết công việc đòi hỏi lao động có trình độ chuyên môn, kỹ thuật cao mà thị trường lao động không cung ứng đầy đủ, kịp thời;
668	paragraph	Normal	JUSTIFY (3)	d) Trường hợp phải giải quyết công việc cấp bách, không thể trì hoãn do tính chất thời vụ, thời điểm của nguyên liệu, sản phẩm hoặc để giải quyết công việc phát sinh do yếu tố khách quan không dự liệu trước, do hậu quả thời tiết, thiên tai, hỏa hoạn, địch họa, thiếu điện, thiếu nguyên liệu, sự cố kỹ thuật của dây chuyền sản xuất;
669	paragraph	Normal	JUSTIFY (3)	đ) Trường hợp khác do Chính phủ quy định.
670	paragraph	Normal	JUSTIFY (3)	4. Khi tổ chức làm thêm giờ theo quy định tại khoản 3 Điều này, người sử dụng lao động phải thông báo bằng văn bản cho cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh.
671	paragraph	Normal	JUSTIFY (3)	5. Chính phủ quy định chi tiết Điều này.
672	paragraph	Normal	JUSTIFY (3)	Điều 108. Làm thêm giờ trong trường hợp đặc biệt
673	paragraph	Normal	JUSTIFY (3)	Người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ vào bất kỳ ngày nào mà không bị giới hạn về số giờ làm thêm theo quy định tại Điều 107 của Bộ luật này và người lao động không được từ chối trong trường hợp sau đây:
674	paragraph	Normal	JUSTIFY (3)	1. Thực hiện lệnh động viên, huy động bảo đảm nhiệm vụ quốc phòng, an ninh theo quy định của pháp luật;
675	paragraph	Normal	JUSTIFY (3)	2. Thực hiện các công việc nhằm bảo vệ tính mạng con người, tài sản của cơ quan, tổ chức, cá nhân trong phòng ngừa, khắc phục hậu quả thiên tai, hỏa hoạn, dịch bệnh nguy hiểm và thảm họa, trừ trường hợp có nguy cơ ảnh hưởng đến tính mạng, sức khỏe của người lao động theo quy định của pháp luật về an toàn, vệ sinh lao động.
676	paragraph	Normal	CENTER (1)	
677	paragraph	Normal	CENTER (1)	Mục 2
678	paragraph	Normal	CENTER (1)	THỜI GIỜ NGHỈ NGƠI
679	paragraph	Normal	JUSTIFY (3)	Điều 109. Nghỉ trong giờ làm việc
680	paragraph	Normal	JUSTIFY (3)	1. Người lao động làm việc theo thời giờ làm việc quy định tại Điều 105 của Bộ luật này từ 06 giờ trở lên trong một ngày thì được nghỉ giữa giờ ít nhất 30 phút liên tục, làm việc ban đêm thì được nghỉ giữa giờ ít nhất 45 phút liên tục.
681	paragraph	Normal	JUSTIFY (3)	Trường hợp người lao động làm việc theo ca liên tục từ 06 giờ trở lên thì thời gian nghỉ giữa giờ được tính vào giờ làm việc.
682	paragraph	Normal	JUSTIFY (3)	2. Ngoài thời gian nghỉ quy định tại khoản 1 Điều này, người sử dụng lao động bố trí cho người lao động các đợt nghỉ giải lao và ghi vào nội quy lao động.
683	paragraph	Normal	JUSTIFY (3)	Điều 110. Nghỉ chuyển ca
684	paragraph	Normal	JUSTIFY (3)	Người lao động làm việc theo ca được nghỉ ít nhất 12 giờ trước khi chuyển sang ca làm việc khác.
685	paragraph	Normal	JUSTIFY (3)	Điều 111. Nghỉ hằng tuần
686	paragraph	Normal	JUSTIFY (3)	1. Mỗi tuần, người lao động được nghỉ ít nhất 24 giờ liên tục. Trong trường hợp đặc biệt do chu kỳ lao động không thể nghỉ hằng tuần thì người sử dụng lao động có trách nhiệm bảo đảm cho người lao động được nghỉ tính bình quân 01 tháng ít nhất 04 ngày.
687	paragraph	Normal	JUSTIFY (3)	2. Người sử dụng lao động có quyền quyết định sắp xếp ngày nghỉ hằng tuần vào ngày Chủ nhật hoặc ngày xác định khác trong tuần nhưng phải ghi vào nội quy lao động.
688	paragraph	Normal	JUSTIFY (3)	3. Nếu ngày nghỉ hằng tuần trùng với ngày nghỉ lễ, tết quy định tại khoản 1 Điều 112 của Bộ luật này thì người lao động được nghỉ bù ngày nghỉ hằng tuần vào ngày làm việc kế tiếp.
689	paragraph	Normal	JUSTIFY (3)	Điều 112. Nghỉ lễ, tết
690	paragraph	Normal	JUSTIFY (3)	1. Người lao động được nghỉ làm việc, hưởng nguyên lương trong những ngày lễ, tết sau đây:
691	paragraph	Normal	JUSTIFY (3)	a) Tết Dương lịch: 01 ngày (ngày 01 tháng 01 dương lịch);
692	paragraph	Normal	JUSTIFY (3)	b) Tết Âm lịch: 05 ngày;
693	paragraph	Normal	JUSTIFY (3)	c) Ngày Chiến thắng: 01 ngày (ngày 30 tháng 4 dương lịch);
694	paragraph	Normal	JUSTIFY (3)	d) Ngày Quốc tế lao động: 01 ngày (ngày 01 tháng 5 dương lịch);
695	paragraph	Normal	JUSTIFY (3)	đ) Quốc khánh: 02 ngày (ngày 02 tháng 9 dương lịch và 01 ngày liền kề trước hoặc sau);
696	paragraph	Normal	JUSTIFY (3)	e) Ngày Giỗ Tổ Hùng Vương: 01 ngày (ngày 10 tháng 3 âm lịch).
697	paragraph	Normal	JUSTIFY (3)	2. Lao động là người nước ngoài làm việc tại Việt Nam ngoài các ngày nghỉ theo quy định tại khoản 1 Điều này còn được nghỉ thêm 01 ngày Tết cổ truyền dân tộc và 01 ngày Quốc khánh của nước họ.
698	paragraph	Normal	JUSTIFY (3)	3. Hằng năm, căn cứ vào điều kiện thực tế, Thủ tướng Chính phủ quyết định cụ thể ngày nghỉ quy định tại điểm b và điểm đ khoản 1 Điều này.
699	paragraph	Normal	JUSTIFY (3)	Điều 113. Nghỉ hằng năm
700	paragraph	Normal	JUSTIFY (3)	1. Người lao động làm việc đủ 12 tháng cho một người sử dụng lao động thì được nghỉ hằng năm, hưởng nguyên lương theo hợp đồng lao động như sau:
701	paragraph	Normal	JUSTIFY (3)	a) 12 ngày làm việc đối với người làm công việc trong điều kiện bình thường;
702	paragraph	Normal	JUSTIFY (3)	b) 14 ngày làm việc đối với người lao động chưa thành niên, lao động là người khuyết tật, người làm nghề, công việc nặng nhọc, độc hại, nguy hiểm;
703	paragraph	Normal	JUSTIFY (3)	c) 16 ngày làm việc đối với người làm nghề, công việc đặc biệt nặng nhọc, độc hại, nguy hiểm.
704	paragraph	Normal	JUSTIFY (3)	2. Người lao động làm việc chưa đủ 12 tháng cho một người sử dụng lao động thì số ngày nghỉ hằng năm theo tỷ lệ tương ứng với số tháng làm việc. 
705	paragraph	Normal	JUSTIFY (3)	3. Trường hợp do thôi việc, bị mất việc làm mà chưa nghỉ hằng năm hoặc chưa nghỉ hết số ngày nghỉ hằng năm thì được người sử dụng lao động thanh toán tiền lương cho những ngày chưa nghỉ.
706	paragraph	Normal	JUSTIFY (3)	4. Người sử dụng lao động có trách nhiệm quy định lịch nghỉ hằng năm sau khi tham khảo ý kiến của người lao động và phải thông báo trước cho người lao động biết. Người lao động có thể thỏa thuận với người sử dụng lao động để nghỉ hằng năm thành nhiều lần hoặc nghỉ gộp tối đa 03 năm một lần.
707	paragraph	Normal	JUSTIFY (3)	5. Khi nghỉ hằng năm mà chưa đến kỳ trả lương, người lao động được tạm ứng tiền lương theo quy định tại khoản 3 Điều 101 của Bộ luật này.
708	paragraph	Normal	JUSTIFY (3)	6. Khi nghỉ hằng năm, nếu người lao động đi bằng các phương tiện đường bộ, đường sắt, đường thủy mà số ngày đi đường cả đi và về trên 02 ngày thì từ ngày thứ 03 trở đi được tính thêm thời gian đi đường ngoài ngày nghỉ hằng năm và chỉ được tính cho 01 lần nghỉ trong năm.
709	paragraph	Normal	JUSTIFY (3)	7. Chính phủ quy định chi tiết điều này.
710	paragraph	Normal	JUSTIFY (3)	Điều 114. Ngày nghỉ hằng năm tăng thêm theo thâm niên làm việc
711	paragraph	Normal	JUSTIFY (3)	Cứ đủ 05 năm làm việc cho một người sử dụng lao động thì số ngày nghỉ hằng năm của người lao động theo quy định tại khoản 1 Điều 113 của Bộ luật này được tăng thêm tương ứng 01 ngày.
712	paragraph	Normal	JUSTIFY (3)	Điều 115. Nghỉ việc riêng, nghỉ không hưởng lương
713	paragraph	Normal	JUSTIFY (3)	1. Người lao động được nghỉ việc riêng mà vẫn hưởng nguyên lương và phải thông báo với người sử dụng lao động trong trường hợp sau đây:
714	paragraph	Normal	JUSTIFY (3)	a) Kết hôn: nghỉ 03 ngày;
715	paragraph	Normal	JUSTIFY (3)	b) Con đẻ, con nuôi kết hôn: nghỉ 01 ngày;
716	paragraph	Normal	JUSTIFY (3)	c) Cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi; cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi của vợ hoặc chồng; vợ hoặc chồng; con đẻ, con nuôi chết: nghỉ 03 ngày.
717	paragraph	Normal	JUSTIFY (3)	2. Người lao động được nghỉ không hưởng lương 01 ngày và phải thông báo với người sử dụng lao động khi ông nội, bà nội, ông ngoại, bà ngoại, anh, chị, em ruột chết; cha hoặc mẹ kết hôn; anh, chị, em ruột kết hôn.
718	paragraph	Normal	JUSTIFY (3)	3. Ngoài quy định tại khoản 1 và khoản 2 Điều này, người lao động có thể thỏa thuận với người sử dụng lao động để nghỉ không hưởng lương.
719	paragraph	Normal	JUSTIFY (3)	
720	paragraph	Normal	CENTER (1)	Mục 3
721	paragraph	Normal	CENTER (1)	THỜI GIỜ LÀM VIỆC, THỜI GIỜ NGHỈ NGƠI
722	paragraph	Normal	CENTER (1)	ĐỐI VỚI NGƯỜI LÀM CÔNG VIỆC CÓ TÍNH CHẤT ĐẶC BIỆT
723	paragraph	Normal	JUSTIFY (3)	
724	paragraph	Normal	JUSTIFY (3)	Điều 116. Thời giờ làm việc, thời giờ nghỉ ngơi đối với người làm công việc có tính chất đặc biệt
725	paragraph	Normal	JUSTIFY (3)	Đối với các công việc có tính chất đặc biệt trong lĩnh vực vận tải đường bộ, đường sắt, đường thủy, đường hàng không; thăm dò, khai thác dầu khí trên biển; làm việc trên biển; trong lĩnh vực nghệ thuật; sử dụng kỹ thuật bức xạ và hạt nhân; ứng dụng kỹ thuật sóng cao tần; tin học, công nghệ tin học; nghiên cứu ứng dụng khoa học, công nghệ tiên tiến; thiết kế công nghiệp; công việc của thợ lặn; công việc trong hầm lò; công việc sản xuất có tính thời vụ, công việc gia công theo đơn đặt hàng; công việc phải thường trực 24/24 giờ; các công việc có tính chất đặc biệt khác do Chính phủ quy định thì các Bộ, ngành quản lý quy định cụ thể thời giờ làm việc, thời giờ nghỉ ngơi sau khi thống nhất với Bộ Lao động - Thương binh và Xã hội và phải tuân thủ quy định tại Điều 109 của Bộ luật này.
726	paragraph	Normal	JUSTIFY (3)	
727	paragraph	Normal	CENTER (1)	Chương VIII
728	paragraph	Normal	CENTER (1)	KỶ LUẬT LAO ĐỘNG, TRÁCH NHIỆM VẬT CHẤT
729	paragraph	Normal	CENTER (1)	Mục 1
730	paragraph	Normal	CENTER (1)	KỶ LUẬT LAO ĐỘNG
731	paragraph	Normal	JUSTIFY (3)	Điều 117. Kỷ luật lao động
732	paragraph	Normal	JUSTIFY (3)	Kỷ luật lao động là những quy định về việc tuân theo thời gian, công nghệ và điều hành sản xuất, kinh doanh do người sử dụng lao động ban hành trong nội quy lao động và do pháp luật quy định.
733	paragraph	Normal	JUSTIFY (3)	Điều 118. Nội quy lao động 
734	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động phải ban hành nội quy lao động, nếu sử dụng từ 10 người lao động trở lên thì nội quy lao động phải bằng văn bản.
735	paragraph	Normal	JUSTIFY (3)	2. Nội dung nội quy lao động không được trái với pháp luật về lao động và quy định của pháp luật có liên quan. Nội quy lao động bao gồm những nội dung chủ yếu sau đây:
736	paragraph	Normal	JUSTIFY (3)	a) Thời giờ làm việc, thời giờ nghỉ ngơi;
737	paragraph	Normal	JUSTIFY (3)	b) Trật tự tại nơi làm việc;
738	paragraph	Normal	JUSTIFY (3)	c) An toàn, vệ sinh lao động; 
739	paragraph	Normal	JUSTIFY (3)	d) Phòng, chống quấy rối tình dục tại nơi làm việc; trình tự, thủ tục xử lý hành vi quấy rối tình dục tại nơi làm việc;
740	paragraph	Normal	JUSTIFY (3)	đ) Việc bảo vệ tài sản và bí mật kinh doanh, bí mật công nghệ, sở hữu trí tuệ của người sử dụng lao động; 
741	paragraph	Normal	JUSTIFY (3)	e) Trường hợp được tạm thời chuyển người lao động làm việc khác so với hợp đồng lao động;
742	paragraph	Normal	JUSTIFY (3)	g) Các hành vi vi phạm kỷ luật lao động của người lao động và các hình thức xử lý kỷ luật lao động; 
743	paragraph	Normal	JUSTIFY (3)	h) Trách nhiệm vật chất;
744	paragraph	Normal	JUSTIFY (3)	i) Người có thẩm quyền xử lý kỷ luật lao động. 
745	paragraph	Normal	JUSTIFY (3)	3. Trước khi ban hành nội quy lao động hoặc sửa đổi, bổ sung nội quy lao động, người sử dụng lao động phải tham khảo ý kiến của tổ chức đại diện người lao động tại cơ sở đối với nơi có tổ chức đại diện người lao động tại cơ sở. 
746	paragraph	Normal	JUSTIFY (3)	4. Nội quy lao động phải được thông báo đến người lao động và những nội dung chính phải được niêm yết ở những nơi cần thiết tại nơi làm việc.   
747	paragraph	Normal	JUSTIFY (3)	5. Chính phủ quy định chi tiết Điều này. 
748	paragraph	Normal	JUSTIFY (3)	Điều 119. Đăng ký nội quy lao động
749	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động sử dụng từ 10 người lao động trở lên phải đăng ký nội quy lao động tại cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh nơi người sử dụng lao động đăng ký kinh doanh.
750	paragraph	Normal	JUSTIFY (3)	2. Trong thời hạn 10 ngày kể từ ngày ban hành nội quy lao động, người sử dụng lao động phải nộp hồ sơ đăng ký nội quy lao động. 
751	paragraph	Normal	JUSTIFY (3)	3. Trong thời hạn 07 ngày làm việc kể từ ngày nhận được hồ sơ đăng ký nội quy lao động, nếu nội dung nội quy lao động có quy định trái với pháp luật thì cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh thông báo, hướng dẫn người sử dụng lao động sửa đổi, bổ sung và đăng ký lại.
752	paragraph	Normal	JUSTIFY (3)	4. Người sử dụng lao động có các chi nhánh, đơn vị, cơ sở sản xuất, kinh doanh đặt ở nhiều địa bàn khác nhau thì gửi nội quy lao động đã được đăng ký đến cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh nơi đặt chi nhánh, đơn vị, cơ sở sản xuất, kinh doanh.
753	paragraph	Normal	JUSTIFY (3)	5. Căn cứ điều kiện cụ thể, cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh có thể ủy quyền cho cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp huyện thực hiện việc đăng ký nội quy lao động theo quy định tại Điều này.
754	paragraph	Normal	JUSTIFY (3)	Điều 120. Hồ sơ đăng ký nội quy lao động
755	paragraph	Normal	JUSTIFY (3)	Hồ sơ đăng ký nội quy lao động bao gồm:
756	paragraph	Normal	JUSTIFY (3)	1. Văn bản đề nghị đăng ký nội quy lao động;
757	paragraph	Normal	JUSTIFY (3)	2. Nội quy lao động;
758	paragraph	Normal	JUSTIFY (3)	3. Văn bản góp ý của tổ chức đại diện người lao động tại cơ sở đối với nơi có tổ chức đại diện người lao động tại cơ sở; 
759	paragraph	Normal	JUSTIFY (3)	4. Các văn bản của người sử dụng lao động có quy định liên quan đến kỷ luật lao động và trách nhiệm vật chất (nếu có).
760	paragraph	Normal	JUSTIFY (3)	Điều 121. Hiệu lực của nội quy lao động
761	paragraph	Normal	JUSTIFY (3)	Nội quy lao động có hiệu lực sau 15 ngày kể từ ngày cơ quan nhà nước có thẩm quyền quy định tại Điều 119 của Bộ luật này nhận được đầy đủ hồ sơ đăng ký nội quy lao động.
762	paragraph	Normal	JUSTIFY (3)	Trường hợp người sử dụng lao động sử dụng dưới 10 người lao động ban hành nội quy lao động bằng văn bản thì hiệu lực do người sử dụng lao động quyết định trong nội quy lao động.
763	paragraph	Normal	JUSTIFY (3)	Điều 122. Nguyên tắc, trình tự, thủ tục xử lý kỷ luật lao động
764	paragraph	Normal	JUSTIFY (3)	1. Việc xử lý kỷ luật lao động được quy định như sau:
765	paragraph	Normal	JUSTIFY (3)	a) Người sử dụng lao động phải chứng minh được lỗi của người lao động;
766	paragraph	Normal	JUSTIFY (3)	b) Phải có sự tham gia của tổ chức đại diện người lao động tại cơ sở mà người lao động đang bị xử lý kỷ luật là thành viên;
767	paragraph	Normal	JUSTIFY (3)	c) Người lao động phải có mặt và có quyền tự bào chữa, nhờ luật sư hoặc tổ chức đại diện người lao động bào chữa; trường hợp là người chưa đủ 15 tuổi thì phải có sự tham gia của người đại diện theo pháp luật;
768	paragraph	Normal	JUSTIFY (3)	d) Việc xử lý kỷ luật lao động phải được ghi thành biên bản. 
769	paragraph	Normal	JUSTIFY (3)	2. Không được áp dụng nhiều hình thức xử lý kỷ luật lao động đối với một hành vi vi phạm kỷ luật lao động.
770	paragraph	Normal	JUSTIFY (3)	3. Khi một người lao động đồng thời có nhiều hành vi vi phạm kỷ luật lao động thì chỉ áp dụng hình thức kỷ luật cao nhất tương ứng với hành vi vi phạm nặng nhất.
771	paragraph	Normal	JUSTIFY (3)	4. Không được xử lý kỷ luật lao động đối với người lao động đang trong thời gian sau đây: 
772	paragraph	Normal	JUSTIFY (3)	a) Nghỉ ốm đau, điều dưỡng; nghỉ việc được sự đồng ý của người sử dụng lao động;
773	paragraph	Normal	JUSTIFY (3)	b) Đang bị tạm giữ, tạm giam;
774	paragraph	Normal	JUSTIFY (3)	c) Đang chờ kết quả của cơ quan có thẩm quyền điều tra xác minh và kết luận đối với hành vi vi phạm được quy định tại khoản 1 và khoản 2 Điều 125 của Bộ luật này;
775	paragraph	Normal	JUSTIFY (3)	d) Người lao động nữ mang thai; người lao động nghỉ thai sản, nuôi con dưới 12 tháng tuổi.
776	paragraph	Normal	JUSTIFY (3)	5. Không xử lý kỷ luật lao động đối với người lao động vi phạm kỷ luật lao động trong khi mắc bệnh tâm thần hoặc một bệnh khác làm mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình.
777	paragraph	Normal	JUSTIFY (3)	6. Chính phủ quy định trình tự, thủ tục xử lý kỷ luật lao động.
778	paragraph	Normal	JUSTIFY (3)	Điều 123. Thời hiệu xử lý kỷ luật lao động
779	paragraph	Normal	JUSTIFY (3)	1. Thời hiệu xử lý kỷ luật lao động là 06 tháng kể từ ngày xảy ra hành vi vi phạm; trường hợp hành vi vi phạm liên quan trực tiếp đến tài chính, tài sản, tiết lộ bí mật công nghệ, bí mật kinh doanh của người sử dụng lao động thì thời hiệu xử lý kỷ luật lao động là 12 tháng.
780	paragraph	Normal	JUSTIFY (3)	2. Khi hết thời gian quy định tại khoản 4 Điều 122 của Bộ luật này, nếu hết thời hiệu hoặc còn thời hiệu nhưng không đủ 60 ngày thì được kéo dài thời hiệu để xử lý kỷ luật lao động nhưng không quá 60 ngày kể từ ngày hết thời gian nêu trên.
781	paragraph	Normal	JUSTIFY (3)	3. Người sử dụng lao động phải ban hành quyết định xử lý kỷ luật lao động trong thời hạn quy định tại khoản 1 và khoản 2 Điều này.
782	paragraph	Normal	JUSTIFY (3)	Điều 124. Hình thức xử lý kỷ luật lao động
783	paragraph	Normal	JUSTIFY (3)	1. Khiển trách.
784	paragraph	Normal	JUSTIFY (3)	2. Kéo dài thời hạn nâng lương không quá 06 tháng. 
785	paragraph	Normal	JUSTIFY (3)	3. Cách chức.
786	paragraph	Normal	JUSTIFY (3)	4. Sa thải.
787	paragraph	Normal	JUSTIFY (3)	Điều 125. Áp dụng hình thức xử lý kỷ luật sa thải
788	paragraph	Normal	JUSTIFY (3)	Hình thức xử lý kỷ luật sa thải được người sử dụng lao động áp dụng trong trường hợp sau đây:
789	paragraph	Normal	JUSTIFY (3)	1. Người lao động có hành vi trộm cắp, tham ô, đánh bạc, cố ý gây thương tích, sử dụng ma tuý tại nơi làm việc;
790	paragraph	Normal	JUSTIFY (3)	2. Người lao động có hành vi tiết lộ bí mật kinh doanh, bí mật công nghệ, xâm phạm quyền sở hữu trí tuệ của người sử dụng lao động, có hành vi gây thiệt hại nghiêm trọng hoặc đe dọa gây thiệt hại đặc biệt nghiêm trọng về tài sản, lợi ích của người sử dụng lao động hoặc quấy rối tình dục tại nơi làm việc được quy định trong nội quy lao động;
791	paragraph	Normal	JUSTIFY (3)	3. Người lao động bị xử lý kỷ luật kéo dài thời hạn nâng lương hoặc cách chức mà tái phạm trong thời gian chưa xóa kỷ luật. Tái phạm là trường hợp người lao động lặp lại hành vi vi phạm đã bị xử lý kỷ luật mà chưa được xóa kỷ luật theo quy định tại Điều 126 của Bộ luật này;
792	paragraph	Normal	JUSTIFY (3)	4. Người lao động tự ý bỏ việc 05 ngày cộng dồn trong thời hạn 30 ngày hoặc 20 ngày cộng dồn trong thời hạn 365 ngày tính từ ngày đầu tiên tự ý bỏ việc mà không có lý do chính đáng.
793	paragraph	Normal	JUSTIFY (3)	Trường hợp được coi là có lý do chính đáng bao gồm thiên tai, hỏa hoạn, bản thân, thân nhân bị ốm có xác nhận của cơ sở khám bệnh, chữa bệnh có thẩm quyền và trường hợp khác được quy định trong nội quy lao động.
794	paragraph	Normal	JUSTIFY (3)	Điều 126. Xóa kỷ luật, giảm thời hạn chấp hành kỷ luật lao động
795	paragraph	Normal	JUSTIFY (3)	1. Người lao động bị khiển trách sau 03 tháng hoặc bị xử lý kỷ luật kéo dài thời hạn nâng lương sau 06 tháng hoặc bị xử lý kỷ luật cách chức sau 03 năm kể từ ngày bị xử lý, nếu không tiếp tục vi phạm kỷ luật lao động thì đương nhiên được xóa kỷ luật. 
796	paragraph	Normal	JUSTIFY (3)	2. Người lao động bị xử lý kỷ luật kéo dài thời hạn nâng lương sau khi chấp hành được một nửa thời hạn nếu sửa chữa tiến bộ thì có thể được người sử dụng lao động xét giảm thời hạn.
797	paragraph	Normal	JUSTIFY (3)	Điều 127. Các hành vi bị nghiêm cấm khi xử lý kỷ luật lao động
798	paragraph	Normal	JUSTIFY (3)	1. Xâm phạm sức khỏe, danh dự, tính mạng, uy tín, nhân phẩm của người lao động.
799	paragraph	Normal	JUSTIFY (3)	2. Phạt tiền, cắt lương thay việc xử lý kỷ luật lao động.
800	paragraph	Normal	JUSTIFY (3)	3. Xử lý kỷ luật lao động đối với người lao động có hành vi vi phạm không được quy định trong nội quy lao động hoặc không thỏa thuận trong hợp đồng lao động đã giao kết hoặc pháp luật về lao động không có quy định.
801	paragraph	Normal	JUSTIFY (3)	Điều 128. Tạm đình chỉ công việc
802	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động có quyền tạm đình chỉ công việc của người lao động khi vụ việc vi phạm có những tình tiết phức tạp nếu xét thấy để người lao động tiếp tục làm việc sẽ gây khó khăn cho việc xác minh. Việc tạm đình chỉ công việc của người lao động chỉ được thực hiện sau khi tham khảo ý kiến của tổ chức đại diện người lao động tại cơ sở mà người lao động đang bị xem xét tạm đình chỉ công việc là thành viên.
803	paragraph	Normal	JUSTIFY (3)	2. Thời hạn tạm đình chỉ công việc không được quá 15 ngày, trường hợp đặc biệt không được quá 90 ngày. Trong thời gian bị tạm đình chỉ công việc, người lao động được tạm ứng 50% tiền lương trước khi bị đình chỉ công việc.
804	paragraph	Normal	JUSTIFY (3)	Hết thời hạn tạm đình chỉ công việc, người sử dụng lao động phải nhận người lao động trở lại làm việc.
805	paragraph	Normal	JUSTIFY (3)	3. Trường hợp người lao động bị xử lý kỷ luật lao động, người lao động cũng không phải trả lại số tiền lương đã tạm ứng.
806	paragraph	Normal	JUSTIFY (3)	4. Trường hợp người lao động không bị xử lý kỷ luật lao động thì được người sử dụng lao động trả đủ tiền lương cho thời gian bị tạm đình chỉ công việc.
807	paragraph	Normal	CENTER (1)	Mục 2
808	paragraph	Normal	CENTER (1)	TRÁCH NHIỆM VẬT CHẤT
809	paragraph	Normal	JUSTIFY (3)	Điều 129. Bồi thường thiệt hại
810	paragraph	Normal	JUSTIFY (3)	1. Người lao động làm hư hỏng dụng cụ, thiết bị hoặc có hành vi khác gây thiệt hại tài sản của người sử dụng lao động thì phải bồi thường theo quy định của pháp luật hoặc nội quy lao động của người sử dụng lao động.
811	paragraph	Normal	JUSTIFY (3)	Trường hợp người lao động gây thiệt hại không nghiêm trọng do sơ suất với giá trị không quá 10 tháng lương tối thiểu vùng do Chính phủ công bố được áp dụng tại nơi người lao động làm việc thì người lao động phải bồi thường nhiều nhất là 03 tháng tiền lương và bị khấu trừ hằng tháng vào lương theo quy định tại khoản 3 Điều 102 của Bộ luật này.
812	paragraph	Normal	JUSTIFY (3)	2. Người lao động làm mất dụng cụ, thiết bị, tài sản của người sử dụng lao động hoặc tài sản khác do người sử dụng lao động giao hoặc tiêu hao vật tư quá định mức cho phép thì phải bồi thường thiệt hại một phần hoặc toàn bộ theo thời giá thị trường hoặc nội quy lao động; trường hợp có hợp đồng trách nhiệm thì phải bồi thường theo hợp đồng trách nhiệm; trường hợp do thiên tai, hỏa hoạn, địch họa, dịch bệnh nguy hiểm, thảm họa, sự kiện xảy ra khách quan không thể lường trước được và không thể khắc phục được mặc dù đã áp dụng mọi biện pháp cần thiết và khả năng cho phép thì không phải bồi thường.
813	paragraph	Normal	JUSTIFY (3)	Điều 130. Xử lý bồi thường thiệt hại
814	paragraph	Normal	JUSTIFY (3)	1. Việc xem xét, quyết định mức bồi thường thiệt hại phải căn cứ vào lỗi, mức độ thiệt hại thực tế và hoàn cảnh thực tế gia đình, nhân thân và tài sản của người lao động.
815	paragraph	Normal	JUSTIFY (3)	2. Chính phủ quy định trình tự, thủ tục, thời hiệu xử lý việc bồi thường thiệt hại.
816	paragraph	Normal	JUSTIFY (3)	Điều 131. Khiếu nại về kỷ luật lao động, trách nhiệm vật chất
817	paragraph	Normal	JUSTIFY (3)	Người bị xử lý kỷ luật lao động, bị tạm đình chỉ công việc hoặc phải bồi thường theo chế độ trách nhiệm vật chất nếu thấy không thỏa đáng có quyền khiếu nại với người sử dụng lao động, với cơ quan có thẩm quyền theo quy định của pháp luật hoặc yêu cầu giải quyết tranh chấp lao động theo trình tự do pháp luật quy định.
818	paragraph	Normal	JUSTIFY (3)	Chính phủ quy định chi tiết Điều này.
819	paragraph	Normal	JUSTIFY (3)	
820	paragraph	Normal	CENTER (1)	Chương IX
821	paragraph	Normal	CENTER (1)	AN TOÀN, VỆ SINH LAO ĐỘNG
822	paragraph	Normal	JUSTIFY (3)	Điều 132. Tuân thủ pháp luật về an toàn, vệ sinh lao động
823	paragraph	Normal	JUSTIFY (3)	Người sử dụng lao động, người lao động và cơ quan, tổ chức, cá nhân có liên quan đến lao động, sản xuất, kinh doanh phải thực hiện quy định của pháp luật về an toàn, vệ sinh lao động.
824	paragraph	Normal	JUSTIFY (3)	Điều 133. Chương trình an toàn, vệ sinh lao động
825	paragraph	Normal	JUSTIFY (3)	1. Chính phủ quyết định Chương trình quốc gia về an toàn, vệ sinh lao động.
826	paragraph	Normal	JUSTIFY (3)	2. Ủy ban nhân dân cấp tỉnh trình Hội đồng nhân dân cùng cấp quyết định Chương trình an toàn, vệ sinh lao động của địa phương và đưa vào kế hoạch phát triển kinh tế - xã hội.
827	paragraph	Normal	JUSTIFY (3)	Điều 134. Bảo đảm an toàn, vệ sinh lao động tại nơi làm việc
828	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động có trách nhiệm thực hiện đầy đủ các giải pháp nhằm bảo đảm an toàn, vệ sinh lao động tại nơi làm việc.
